sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
79;129;2024-07-10 13:32:36.999;1720618356999;2024-07-10 13:32:36.999;1720618356999;0;2.56;0.01999998;2024-07-10 13:32:36.999;1720618356999;0;
80;130;2024-07-10 13:32:36.999;1720618356999;2024-07-10 13:32:37.040;1720618357040;41;2.58;0.01999998;2024-07-10 13:32:37.040;1720618357040;0;
80;131;2024-07-10 13:32:37.040;1720618357040;2024-07-10 13:32:37.041;1720618357041;1;2.6;0.01999998;2024-07-10 13:32:37.041;1720618357041;0;
81;132;2024-07-10 13:32:37.041;1720618357041;2024-07-10 13:32:37.068;1720618357068;27;2.62;0.01999998;2024-07-10 13:32:37.068;1720618357068;0;
82;133;2024-07-10 13:32:37.068;1720618357068;2024-07-10 13:32:37.096;1720618357096;28;2.64;0.01999998;2024-07-10 13:32:37.096;1720618357096;0;
82;134;2024-07-10 13:32:37.096;1720618357096;2024-07-10 13:32:37.097;1720618357097;1;2.66;0.01999998;2024-07-10 13:32:37.097;1720618357097;0;
83;135;2024-07-10 13:32:37.097;1720618357097;2024-07-10 13:32:37.124;1720618357124;27;2.68;0.01999998;2024-07-10 13:32:37.124;1720618357124;0;
83;136;2024-07-10 13:32:37.124;1720618357124;2024-07-10 13:32:37.125;1720618357125;1;2.7;0.02000022;2024-07-10 13:32:37.125;1720618357125;0;
84;137;2024-07-10 13:32:37.125;1720618357125;2024-07-10 13:32:37.165;1720618357165;40;2.72;0.01999998;2024-07-10 13:32:37.165;1720618357165;0;
85;138;2024-07-10 13:32:37.165;1720618357165;2024-07-10 13:32:37.195;1720618357195;30;2.74;0.01999998;2024-07-10 13:32:37.195;1720618357195;0;
85;139;2024-07-10 13:32:37.195;1720618357195;2024-07-10 13:32:37.195;1720618357195;0;2.76;0.01999998;2024-07-10 13:32:37.195;1720618357195;0;
86;140;2024-07-10 13:32:37.195;1720618357195;2024-07-10 13:32:37.235;1720618357235;40;2.78;0.01999998;2024-07-10 13:32:37.235;1720618357235;0;
86;141;2024-07-10 13:32:37.235;1720618357235;2024-07-10 13:32:37.236;1720618357236;1;2.8;0.01999998;2024-07-10 13:32:37.236;1720618357236;0;
87;142;2024-07-10 13:32:37.236;1720618357236;2024-07-10 13:32:37.264;1720618357264;28;2.82;0.01999998;2024-07-10 13:32:37.264;1720618357264;0;
88;143;2024-07-10 13:32:37.264;1720618357264;2024-07-10 13:32:37.304;1720618357304;40;2.84;0.01999998;2024-07-10 13:32:37.304;1720618357304;0;
88;144;2024-07-10 13:32:37.304;1720618357304;2024-07-10 13:32:37.305;1720618357305;1;2.86;0.01999998;2024-07-10 13:32:37.305;1720618357305;0;
89;145;2024-07-10 13:32:37.305;1720618357305;2024-07-10 13:32:37.332;1720618357332;27;2.88;0.01999998;2024-07-10 13:32:37.332;1720618357332;0;
89;146;2024-07-10 13:32:37.332;1720618357332;2024-07-10 13:32:37.332;1720618357332;0;2.9;0.01999998;2024-07-10 13:32:37.332;1720618357332;0;
90;147;2024-07-10 13:32:37.332;1720618357332;2024-07-10 13:32:37.360;1720618357360;28;2.92;0.01999998;2024-07-10 13:32:37.361;1720618357360;0;
91;148;2024-07-10 13:32:37.361;1720618357361;2024-07-10 13:32:37.388;1720618357388;28;2.94;0.01999998;2024-07-10 13:32:37.388;1720618357388;0;
91;149;2024-07-10 13:32:37.388;1720618357388;2024-07-10 13:32:37.389;1720618357389;1;2.96;0.02000022;2024-07-10 13:32:37.389;1720618357389;0;
